Date,Total_Volume_USD,Avg_Trade_Size_USD,Trade_Count,Total_PnL,Avg_PnL,PnL_Volatility,Total_Fees,Buy_Ratio,Avg_Price,Price_Volatility,Net_PnL,Win_Rate,ROI_Percent,Classification,Sentiment_Score,Sentiment_Lag_1,Sentiment_Lag_3,Sentiment_Lag_7,PnL_MA_3,Volume_MA_3,Volatility_3,PnL_MA_7,Volume_MA_7,Volatility_7,PnL_MA_14,Volume_MA_14,Volatility_14,Profitable_Day,High_Volume_Day
2024-10-16,80229.17,7293.560909090909,11,219.480876,19.95280690909091,35.58157491300189,28.080204000000002,0.7272727272727273,67576.54545454546,451.4663583560504,191.400672,True,0.23856743376505077,Greed,4,4.0,4.0,4.0,1101.108844,74439.51666666668,849.1815947824214,1818.6012455714285,175994.69999999998,3192.9791017568577,1751.4887735714287,224685.9957142857,2827.6209832139994,1,0
2024-10-17,140531.75,15614.638888888889,9,36.11496,4.0127733333333335,12.830443659406326,49.186107,0.7777777777777778,67400.11111111111,433.80423131997185,-13.071146999999996,True,-0.009301205599446387,Greed,4,4.0,4.0,2.0,475.2739706666667,100644.76000000001,608.7894433365809,1823.7605255714286,153210.0442857143,3189.5781802144734,1746.898714857143,225228.57142857142,2830.5580282892033,1,0
2024-10-18,120331.43000000001,20055.238333333335,6,333.219141,55.536523499999994,51.489580908627175,42.115998,0.16666666666666666,67397.0,518.7022267158665,291.103143,True,0.24191779570807062,Greed,4,4.0,4.0,2.0,196.271659,113697.45000000001,149.90571839407812,602.0307632857142,100556.79285714286,700.9605708633622,1770.7000820714288,233823.64928571432,2816.1029744625084,1,0
2024-10-19,99996.86,24999.215,4,0.0,0.0,0.0,34.998901000000004,1.0,68391.25,218.24355660591678,-34.998901000000004,False,-0.035,Greed,4,4.0,4.0,4.0,123.11136700000002,120286.68000000001,182.85248181358193,524.6658047142857,92025.85857142857,737.6720884702762,1358.7599469285717,197708.72928571427,2600.0534587602474,0,0
2024-10-20,176447.86000000002,1837.9985416666668,96,389.155797,4.05370621875,13.65197281145091,59.257459,0.07291666666666667,4280.33074875,16659.46440479153,329.898338,True,0.18696647156842822,Greed,4,4.0,4.0,4.0,240.791646,132258.71666666667,210.39888297865852,580.25949,108660.92142857144,705.503934704041,1377.2362839285713,188874.2507142857,2591.558969014133,1,0
2024-10-21,324117.99,1873.5143930635838,173,2464.915564,14.248066843930635,40.07987913321128,109.858043,0.45664739884393063,4316.762150867052,16608.369507399624,2355.0575209999997,True,0.726604999926107,Greed,4,4.0,4.0,4.0,951.3571203333332,200187.56999999998,1325.1433621992312,659.0160591428572,146118.3457142857,886.6675456144309,1553.3016813571428,196312.34642857144,2574.4692158628695,1,0
2024-10-22,60000.36,20000.12,3,0.0,0.0,0.0,21.000124,1.0,67047.0,0.0,-21.000124,False,-0.03499999666668666,Greed,4,4.0,4.0,4.0,951.3571203333332,186855.40333333335,1325.1433621992312,491.8409054285715,143093.63142857145,884.5346968333923,1167.834064357143,169556.36285714287,2348.8886571591106,0,0
2024-10-23,210006.07,11667.003888888888,18,-46.489941,-2.5827745,6.37713910085234,73.502111,0.8333333333333334,30954.322222222225,32649.05796335893,-119.992052,False,-0.05713742083740723,Greed,4,4.0,4.0,4.0,806.1418743333334,198041.4733333333,1436.7282080481789,453.8450744285715,161633.1885714286,903.6891161405521,1136.22316,168813.94428571427,2363.0094127335456,0,0
2024-10-25,427883.18,14262.772666666666,30,13235.862071,441.19540236666666,1366.4039341402422,143.841914,0.4666666666666667,56633.085333333336,25762.005032284604,13092.020156999999,True,3.0597183457877453,Greed,4,4.0,4.0,4.0,4396.457376666666,232629.87,7655.184311386969,2339.523233142857,202683.39285714287,4885.606569918094,2081.641879357143,177946.7185714286,3972.8540626373924,1,0
2024-10-27,90664.41,22666.1025,4,666.6623079999999,166.66557699999998,293.9572048762827,31.73254,0.0,67737.75,2.5,634.929768,True,0.7003076157447007,Greed,4,4.0,4.0,4.0,4618.678145999999,242851.22,7471.214133627965,2387.157971285714,198445.24714285714,4864.364182894069,1494.5943672857143,149501.02,3464.9196324897,1,0
